SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EICHERMOT,EQ,2104,2122.15,2033.65,2064.35,2071.8,2102.95,1519039,3134210464.55,22-SEP-2020,88723,INE066A01021,
EIDPARRY,EQ,287.2,294.8,272.4,287.9,287.5,286.3,491924,140654919.8,22-SEP-2020,14833,INE126A01031,
EIFFL,SM,92,92,91,91.25,91.5,92,2400,219600,22-SEP-2020,3,INE546V01010,
EIHAHOTELS,EQ,232.2,233.95,225.3,228.05,230,232.45,5679,1303360.6,22-SEP-2020,432,INE276C01014,
EIHOTEL,EQ,81.5,81.85,76,78.3,78.55,83.65,1619066,126916949.4,22-SEP-2020,11217,INE230A01023,
EIMCOELECO,EQ,334,334,319.95,331.15,334,333.2,916,297962.35,22-SEP-2020,144,INE158B01016,
EKC,BE,28.7,28.7,27.1,27.35,27.8,28.45,55865,1529555.35,22-SEP-2020,170,INE184H01027,
ELECON,EQ,26.7,26.9,24.65,25.35,25.4,26.2,213216,5395056.05,22-SEP-2020,1564,INE205B01023,
ELECTCAST,EQ,17.25,17.25,15.8,16.95,17,17.2,1286444,21421879.55,22-SEP-2020,1990,INE086A01029,
ELECTHERM,EQ,105.25,105.25,101.9,103.2,104,105.25,13732,1417868.4,22-SEP-2020,400,INE822G01016,
ELGIEQUIP,EQ,256.4,258,235.55,246.15,245,251.8,201260,49892618.25,22-SEP-2020,5001,INE285A01027,
ELGIRUBCO,EQ,17.8,18.3,17.2,17.95,17.95,18.1,20487,364002.7,22-SEP-2020,175,INE819L01012,
EMAMILTD,EQ,364.05,368.8,346.7,364.55,363.4,362.8,222253,79605725.2,22-SEP-2020,12461,INE548C01032,
EMAMIPAP,EQ,68.35,69,65.55,67,67,68.4,2712,182680.8,22-SEP-2020,118,INE830C01026,
EMAMIREAL,BE,45.5,46.9,43.85,46.15,46.15,46.15,11136,498004.05,22-SEP-2020,90,INE778K01012,
EMBASSY,RR,368.9,368.9,360.2,362.81,362.79,365.58,426200,155263496,22-SEP-2020,471,INE041025011,
EMCO,BZ,1.35,1.45,1.35,1.45,1.45,1.4,5880,8208,22-SEP-2020,19,INE078A01026,
EMKAY,EQ,53.25,54.9,50.65,53.35,53.75,53.2,10322,546200.8,22-SEP-2020,154,INE296H01011,
EMMBI,EQ,77.65,79.95,75,75.55,75.5,77.65,7144,546348.15,22-SEP-2020,272,INE753K01015,
